"","Ship","Count","Vessel_Kts","distance","Behavior","Visibility","SeaState","Year","Kts_scaled"
"176","Statendam",1,13.51559093,1501.396673,"BL-Blowing","excellent","2'",2008,-0.295013674825197
"177","Amsterdam",1,13.0700939,1501.618142,"BL-Blowing","good","2'",2008,-0.424516123567809
"178","Statendam",1,18.0420346,1501.960513,"BL-Blowing","excellent","1'",2008,1.02078755365997
"179","Ryndam",2,20.21747942,1502.226213,"LF-Lunge-feed","good","1'",2008,1.65317208671607
"180","Ryndam",1,12.39356329,1502.29643,"BL-Blowing","excellent","calm",2008,-0.621178199282057
"181","Statendam",1,15.84695989,1503.550079,"BL-Blowing","excellent","3'",2008,0.382696767470043
"182","Amsterdam",2,14.30312389,1503.635602,"DF-Dive-fluke-up","excellent","calm",2008,-0.0660840974820728
"183","Statendam",1,17.47141506,1506.996062,"BL-Blowing","excellent","1'",2008,0.854912984910585
"184","Statendam",1,12.69980937,1507.662161,"BL-Blowing","excellent","2'",2008,-0.532154895854365
"185","Ryndam",1,13.18272143,1507.727831,"BL-Blowing","excellent","calm",2008,-0.391776195019167
"186","Ryndam",1,15.98192717,1509.712103,"BL-Blowing","excellent","calm",2008,0.421930683934379
"187","Statendam",1,13.38752016,1591.35248,"DF-Dive-fluke-up","excellent","1'",2008,-0.332242830600606
"188","Amsterdam",1,10.43925006,1785.881123,"DF-Dive-fluke-up","excellent","1'",2008,-1.18928153522367
"189","Amsterdam",2,13.40417439,1789.635071,"BL-Blowing","excellent","calm",2008,-0.327401578197817
"190","Amsterdam",1,18.78134538,1793.043126,"BL-Blowing","excellent","1'",2008,1.23569932622961
"191","Ryndam",1,20.29157452,1802.522255,"DF-Dive-fluke-up","excellent","3'",2008,1.67471094386587
"192","Amsterdam",1,8.853419386,1984.645613,"BL-Blowing","excellent","2'",2008,-1.65026991841031
"193","Amsterdam",1,13.81797952,1984.693877,"BL-Blowing","excellent","3'",2008,-0.207111713106562
"194","Amsterdam",1,11.84331189,1984.769464,"DF-Dive-fluke-up","excellent","1'",2008,-0.781131911485369
"195","Amsterdam",1,13.02906145,1984.83606,"BL-Blowing","good","2'",2008,-0.436443930926948
"196","Statendam",1,19.29255641,1986.299625,"BL-Blowing","excellent","3'",2008,1.38430431290984
"197","Statendam",2,17.41991986,1986.315804,"BL-Blowing","excellent","2'",2008,0.839943739215522
"198","Statendam",1,17.29075635,1986.376889,"BL-Blowing","excellent","2'",2008,0.802396932600019
"199","Ryndam",1,6.68317625,1986.411085,"SA-Surface-active","good","calm",2008,-2.28114236323636
"200","Statendam",1,17.37379222,1986.423258,"BL-Blowing","excellent","2'",2008,0.826534800586418
"201","Ryndam",1,19.337174,1986.436675,"DF-Dive-fluke-up","excellent","1'",2008,1.39727429199588
"202","Ryndam",1,18.50740032,1986.513368,"BL-Blowing","excellent","2'",2008,1.1560656728
"203","Statendam",1,13.65811632,1986.57894,"BL-Blowing","excellent","calm",2008,-0.253582675805977
"204","Statendam",1,12.46331512,1986.768826,"BL-Blowing","excellent","2'",2008,-0.600901896229535
"205","Statendam",1,13.65788094,1986.804972,"BL-Blowing","excellent","calm",2008,-0.253651098902725
"206","Statendam",2,15.95564649,1986.830556,"BL-Blowing","excellent","2'",2008,0.414291098964259
"207","Ryndam",1,17.25585298,1987.32832,"BL-Blowing","excellent","calm",2008,0.79225080012329
"208","Ryndam",1,13.4052839,1987.781769,"BL-Blowing","excellent","1'",2008,-0.3270790524519
"210","Statendam",2,17.42289208,1987.974138,"DF-Dive-fluke-up","excellent","2'",2008,0.840807739965879
"211","Amsterdam",1,10.58726469,1988.459049,"DF-Dive-fluke-up","good","calm",2008,-1.14625485772881
"212","Amsterdam",1,10.58642134,1989.081472,"BL-Blowing","excellent","2'",2008,-1.14650001287641
"213","Ryndam",2,15.22324169,1989.576334,"DF-Dive-fluke-up","excellent","calm",2008,0.201386839937341
"214","Amsterdam",1,11.24669756,1991.369078,"BL-Blowing","excellent","calm",2008,-0.954562959252248
