"","OBJECTID","Event_ID","EvB_Wpt_Id","SwB_Wpt_ID","Event_Date","CPA","ObType","ObOrder","Year_","Ship","Observer","ObLocation","Approx","Species","Count_","IS_WW","WW_Speed","LAT","LONG_","Y_PROJ","X_PROJ","NDateS","NDateD","WptID","DateD","TimeD","DateTim","DateTxt","TimeTxt","TrkID","Vessel_Azi","X_GPS_UTM","Y_GPS_UTM","Vessel_Kts","X_BB_UTM","Y_BB_UTM","X_MM_UTM","Y_MM_UTM","BB_MM_Azi","distance","BB_MM_Bear","Month_","season","Direction","Orientation","Behavior","Clouds","Rain","Wind","SeaState","Visibility"
"34",403,"2008-07-21-K","2008-07-21-K-072","2008-07-21-K-072","7/21/2008","N","MultiOb",4,2008,"Amsterdam","Karin","Port","n","humpback whale",2,"n",0,58.36745842,-136.0061294,58.36745842,-136.0061294,"7/21/2008","7/21/2008",873,"7/21/2008","16:37:29","7/21/2008",20080721,"16:37:29",72732,206.8337536,441140.3167,6470061.663,10.67279175,441131.6707,6470049.003,440633.4086,6469907.653,74.16210232,517.9236724,47.32834875,7,1,"T-Toward","9-Perpendicular","BL-Blowing","90","none","moderate","2'","excellent"
"35",1696,"2008-06-18-K","2008-06-18-K-054","2008-06-18-K-054","6/18/2008","N","MultiOb",2,2008,"Statendam","Karin","Port","n","humpback whale",1,"y",13,58.45143872,-136.0221966,58.45143872,-136.0221966,"6/18/2008","6/18/2008",213,"6/18/2008","14:52:37","6/18/2008",20080618,"14:52:37",21640,126.7405932,440342.515,6479425.55,10.68955878,440352.1369,6479415.871,440341.5676,6478882.747,1.135744658,533.2293054,54.39515144,6,1,"A-Away","9-Perpendicular","RE-Resting","100","none","light","1'","excellent"
"36",538,"2008-07-13-K","2008-07-13-K-102","2008-07-13-K-101","7/13/2008","N","MultiOb",2,2008,"Ryndam","Karin","Starboard","n","humpback whale",1,"n",0,58.00002471,-134.8624199,58.00002471,-134.8624199,"7/13/2008","7/13/2008",658,"7/13/2008","18:55:55","7/13/2008",20080713,"18:55:55",56375,178.6326047,508132.2442,6428721.19,19.35980952,508134.5658,6428707.742,508218.543,6428170.097,351.1224293,544.163324,-7.510175399,7,1,"W/A-Wi/Aw","4-45-degrees","DF-Dive-fluke-up","100","none","light","calm","excellent"
"37",2521,"2008-06-15-K","2008-06-15-K-052","2008-06-15-K-052","6/15/2008","Y","Single",1,2008,"Ryndam","Karin","Starboard","y","humpback whale",1,"n",0,58.52542888,-136.0659006,58.52542888,-136.0659006,"6/15/2008","6/15/2008",123,"6/15/2008","15:31:17","6/15/2008",20080615,"15:31:17",12508,175.250218,437922.6537,6487702.703,14.23584162,437925.7647,6487689.414,438184.6572,6487163.128,333.8063759,586.5178051,-21.44384208,6,1,"G/T-Ag/to","4-45-degrees","DN-Dive-no-fluke","70","none","light","calm","excellent"
"38",941,"2008-06-15-K","2008-06-15-K-067","2008-06-15-K-067","6/15/2008","Y","Single",1,2008,"Ryndam","Karin","Starboard","y","humpback whale",3,"n",0,58.36487981,-135.9639427,58.36487981,-135.9639427,"6/15/2008","6/15/2008",138,"6/15/2008","16:21:34","6/15/2008",20080615,"16:21:34",13111,181.6855675,443604.0659,6469738.452,14.79941558,443605.6679,6469724.899,443194.223,6469300.485,44.11103249,591.1131185,42.42546503,6,1,"W-With","0-Parallel","BL-Blowing","100","none","moderate","1'","excellent"
"39",389,"2008-07-28-K","2008-07-28-K-012","2008-07-28-K-012","7/28/2008","Y","Single",1,2008,"Amsterdam","Karin","Starboard","y","humpback whale",1,"n",0,58.30699297,-135.8337544,58.30699297,-135.8337544,"7/28/2008","7/28/2008",892,"7/28/2008","6:05:55","7/28/2008",20080728,"06:05:55",74567,276.3762567,451140.708,6463191.956,10.41375085,451125.3799,6463191.656,450944.4386,6462625.164,17.71380858,594.6878132,-78.66244814,7,1,"A-Away","9-Perpendicular","BL-Blowing","100","moderate","strong","2'","excellent"
"40",2138,"2008-07-21-K","2008-07-21-K-055","2008-07-21-K-055","7/21/2008","Y","Single",1,2008,"Amsterdam","Karin","Port","y","humpback whale",1,"y",13,58.4991652,-136.052138,58.4991652,-136.052138,"7/21/2008","7/21/2008",856,"7/21/2008","15:44:05","7/21/2008",20080721,"15:44:05",72091,168.9967429,438678.3427,6484766.037,11.15136894,438679.2806,6484750.735,438087.4618,6484662.912,81.55919412,598.2995263,92.56245121,7,1,"W-With","0-Parallel","BL-Blowing","100","none","strong","2'","excellent"
"41",925,"2008-06-15-K","2008-06-15-K-063","2008-06-15-K-063","6/15/2008","N","MultiOb",2,2008,"Ryndam","Karin","Starboard","y","humpback whale",1,"y",13,58.37807117,-135.9641034,58.37807117,-135.9641034,"6/15/2008","6/15/2008",134,"6/15/2008","16:18:12","6/15/2008",20080615,"16:18:12",13071,179.0666855,443615.7046,6471207.215,13.51014479,443617.9242,6471193.749,444124.9368,6471524.184,236.9065491,605.1849739,-122.1601364,6,1,"W-With","0-Parallel","BL-Blowing","100","none","moderate","1'","excellent"
"42",182,"2008-06-11-K","2008-06-11-K-005","2008-06-11-K-005","6/11/2008","N","MultiOb",2,2008,"Statendam","Karin","Starboard","n","humpback whale",1,"n",0,58.28698461,-135.6844686,58.28698461,-135.6844686,"6/11/2008","6/11/2008",5,"6/11/2008","4:34:11","6/11/2008",20080611,"04:34:11",315,290.5495399,459866.2378,6460865.704,10.97758343,459852.8948,6460868.57,459258.2929,6461018.409,104.1440015,613.1909567,-6.40553843,6,1,"G-Against","0-Parallel","BL-Blowing","100","none","light","1'","excellent"
"43",90,"2008-06-11-K","2008-06-11-K-057","2008-06-11-K-057","6/11/2008","Y","Single",1,2008,"Statendam","Karin","Starboard","n","humpback whale",1,"n",0,58.25232259,-135.5917417,58.25232259,-135.5917417,"6/11/2008","6/11/2008",56,"6/11/2008","16:06:22","6/11/2008",20080611,"16:06:22",5192,120.2468671,465269.2792,6456955.088,19.73070936,465281.9488,6456950.016,465940.3305,6456823.433,280.8830582,670.4397953,-19.3638089,6,1,"A-Away","9-Perpendicular","DF-Dive-fluke-up","100","none","light","1'","excellent"
